,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
0,Anyone,Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,2021-01-01,91,190779,0.686,0.181,0.538,3.13e-06,0.113,0.584,-8.026,0.0345,115.884,2,4,Happy
1,Fly Away,Fly Away,Tones And I,5ri4zqtWhG07hIuNNDWP76,2020-11-13,84,178156,0.806,0.217,0.513,0.0,0.217,0.503,-6.208,0.0685,124.988,4,4,Happy
2,Wonder,Wonder,Shawn Mendes,5KCbr5ndeby4y4ggthdiAb,2020-10-02,83,172692,0.333,0.131,0.637,1.8e-05,0.149,0.132,-4.904,0.0581,139.898,1,4,Happy
3,Lasting Lover,Lasting Lover,Sigala,0DmAvNCAK08oCi7miSZUIY,2020-09-04,84,218358,0.676,0.197,0.786,0.0,0.0943,0.483,-4.529,0.0478,125.983,1,4,Happy
4,The Best Days (feat. Tabitha),The Best Days (feat. Tabitha),Sam Feldt,140XpWSdJ0jZEbLj9iVnPA,2020-11-20,74,161944,0.667,0.0863,0.827,0.0,0.0565,0.573,-5.631,0.0368,107.95,11,4,Happy
5,At Least I Had Fun,At Least I Had Fun,Martin Jensen,7jqXDgGWkV4w2ctdb2g59o,2020-08-14,70,170613,0.794,0.198,0.706,0.0,0.0536,0.908,-6.066,0.0382,116.032,5,4,Happy
6,Together,Together,Sia,5id3Rqn7SPj1LX4FfY4nGz,2020-05-20,79,205207,0.521,0.0132,0.877,0.0806,0.0929,0.199,-5.444,0.0683,180.007,7,4,Happy
7,Watermelon Sugar,Watermelon Sugar,Harry Styles,1e9oZCCiX42nJl0AcqriVo,2019-11-17,78,174000,0.548,0.122,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39,0,4,Happy
8,Slow Dance (feat. Ava Max) - Sam Feldt Remix,Slow Dance (feat. Ava Max) [Sam Feldt Remix],AJ Mitchell,2wenGTypSYHXl1sN1pNC7X,2019-10-25,70,193548,0.732,0.114,0.85,2.02e-06,0.0388,0.372,-5.999,0.0444,124.024,1,4,Happy
9,Dancing in the Moonlight (feat. NEIMY),Dancing in the Moonlight (feat. NEIMY),Jubël,5ow0sNF1zSqp71Ix5jEXWU,2018-06-22,66,164009,0.659,0.27,0.617,0.0,0.187,0.187,-5.862,0.0649,119.858,11,4,Happy
11,What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,4wNIkl5XGiAACjFBlDWuSd,2020-01-17,82,180644,0.852,0.00839,0.698,1.03e-06,0.0773,0.324,-7.206,0.0629,113.039,9,4,Happy
12,I Don't Know Why,I Don't Know Why,NOTD,0ZXdzaT1k688dkpNeEgQiV,2020-05-08,76,207667,0.499,0.124,0.898,7.2e-06,0.0832,0.618,-4.181,0.124,120.04,8,4,Happy
13,Friends,Glorious,Ella Henderson,18RdChpgvaAO7GXDjLks2B,2019-11-08,70,178298,0.747,0.198,0.537,1.26e-05,0.18,0.453,-5.76,0.0413,97.056,10,4,Happy
14,Take You Dancing,Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,2020-07-22,87,190306,0.789,0.0332,0.711,0.0,0.0876,0.753,-4.248,0.041,112.985,2,4,Happy
15,Good Vibes,Good Vibes,HRVY,53kWAAfx7IopXRa31MQHB8,2020-09-04,71,170280,0.558,0.274,0.877,0.0,0.162,0.762,-3.392,0.145,99.988,10,4,Happy
16,Love You Better,Love You Better,John De Sohn,4UuGBDjt8gLXsANZqZxMBz,2019-11-15,70,170893,0.733,0.0931,0.786,0.0013,0.1,0.786,-7.494,0.0422,102.999,11,4,Happy
17,Cover Me In Sunshine,Cover Me In Sunshine,P!nk,6Tio0ZoDeSQnI7EBAqWer2,2021-02-12,85,141050,0.476,0.0599,0.594,0.0,0.0785,0.314,-6.879,0.135,159.702,5,4,Happy
18,Get To Know You,Get To Know You,Samantha Harvey,3oiLlbBynuErymca4Dwp5H,2019-11-08,66,201666,0.761,0.0783,0.695,0.0,0.14,0.69,-4.048,0.0886,118.004,5,4,Happy
19,Drown (feat. Clinton Kane),Drown (feat. Clinton Kane),Martin Garrix,4RVtBlHFKj51Ipvpfv5ER4,2020-02-27,78,174062,0.573,0.212,0.739,0.0,0.175,0.363,-5.455,0.0581,120.077,9,4,Happy
20,Never Seen the Rain,Never Seen the Rain,Tones And I,2grAr8pWMuLWn8ZYEE9wDV,2019-07-15,65,200755,0.485,0.44,0.461,0.0,0.232,0.324,-5.646,0.0444,87.009,9,4,Happy
21,Little Bit Of Love - Indian Summer Remix,Little Bit Of Love,JP Cooper,4WEojtwHd0MUF3sPz5ITAj,2020-06-05,65,205199,0.708,0.0133,0.758,1.04e-05,0.418,0.272,-4.453,0.0367,101.017,7,4,Happy
22,Take Care of You,Take Care of You,Ella Henderson,7GajHE5z66qqmzTrKVFCab,2020-06-12,70,194234,0.66,0.141,0.667,5.26e-05,0.107,0.452,-6.87,0.0474,114.901,11,4,Happy
23,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo,0osvOdeD3YXZiWkT8MKolJ,2021-01-21,84,153865,0.749,0.0209,0.674,0.0,0.169,0.711,-5.128,0.0366,123.055,10,4,Happy
24,I Found You,I Found You,Cash Cash,3wYOGJYD31sLRmBgCvWxa4,2020-02-28,72,167307,0.646,0.0714,0.761,0.0,0.222,0.472,-2.557,0.0385,129.916,1,4,Happy
25,Someone,Strawtown,Jubël,68zNuCEl9UHTbcBltW2uDv,2020-03-27,69,181101,0.7,0.0531,0.904,8.03e-06,0.105,0.347,-4.03,0.0431,103.039,2,4,Happy
27,Little Bit Of Love,Little Bit Of Love,JP Cooper,0VrgIjDkmDwlgZk54Try2u,2020-05-08,66,195452,0.659,0.0636,0.801,0.0,0.341,0.334,-4.234,0.0435,105.991,7,4,Happy
28,Lean On Me,Lean On Me,Sandro Cavazza,43Hit5V2BpPq2vxvca3ysc,2020-10-09,72,182497,0.799,0.412,0.419,0.0,0.203,0.716,-7.99,0.174,156.055,6,4,Happy
29,You (with Marshmello & Vance Joy),You (with Marshmello & Vance Joy),benny blanco,1GkHyypTFkUf0QQKwYoXH4,2021-01-29,81,169632,0.668,0.0493,0.563,0.0,0.119,0.305,-6.433,0.0522,103.116,11,4,Happy
30,Tangerine Skies,Tangerine Skies,Declan J Donovan,2VvHa9p1kkTmaCMq0exODA,2020-04-24,60,192000,0.756,0.0578,0.815,2e-05,0.387,0.927,-5.122,0.046,120.002,6,4,Happy
31,Dive,Dive,Hot Shade,0Npijoc6ZcUe1devUugKvI,2019-12-20,68,164490,0.654,0.00515,0.787,0.0,0.144,0.409,-4.999,0.0502,123.978,4,4,Happy
32,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,24ySl2hOPGCDcxBxFIqWBu,2020-05-22,84,182200,0.672,0.021,0.855,0.0,0.323,0.646,-3.764,0.0397,123.056,9,4,Happy
33,Tick Tock (feat. 24kGoldn),Tick Tock (feat. 24kGoldn),Clean Bandit,27u7t9d7ZQoyjsCROHuZJ3,2020-08-21,83,178373,0.779,0.369,0.705,7.91e-06,0.124,0.946,-3.895,0.0344,101.022,0,4,Happy
34,Somebody,Somebody,Dagny,6pU7kdmhRvhc8twYRl14bD,2020-05-01,56,194373,0.721,0.00178,0.763,0.000238,0.0945,0.436,-4.748,0.0382,117.981,5,4,Happy
36,Sing It With Me,Sing It With Me,JP Cooper,60DwQiwwglVkTkTwDTTEId,2019-05-03,10,201198,0.54,0.0744,0.793,0.0,0.354,0.399,-4.379,0.0493,112.219,5,4,Happy
37,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,2020-07-03,91,166028,0.734,0.168,0.874,1.14e-05,0.0489,0.905,-3.158,0.0662,122.953,8,4,Happy
38,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Summer Feelings (feat. Charlie Puth),Lennon Stella,49dFIRQCQxPWgoH0m38XQ5,2020-04-23,75,160289,0.696,0.262,0.686,0.0,0.174,0.7,-6.113,0.0309,115.982,5,4,Happy
39,Dynamite,Dynamite,BTS,0v1x6rN6JHRapa03JElljE,2020-08-21,23,199053,0.746,0.0112,0.765,0.0,0.0936,0.737,-4.41,0.0993,114.044,6,4,Happy
40,My Head & My Heart,Heaven & Hell,Ava Max,1KixkQVDUHggZMU9dUobgm,2020-09-18,90,174760,0.614,0.0697,0.934,0.0,0.121,0.436,-3.709,0.07,116.001,9,4,Happy
41,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,5T490vvoFNU6psep0NPmxs,2020-06-09,74,171374,0.795,0.243,0.48,0.0,0.271,0.723,-8.556,0.0688,149.919,3,4,Happy
42,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,4evmHXcjt3bTUHD1cvny97,2019-06-28,82,197866,0.64,0.124,0.648,0.0,0.0802,0.548,-8.113,0.187,92.977,5,4,Happy
43,Best Of You (feat. Elle King),Best Of You (feat. Elle King),Andy Grammer,4bsqIuMHtvLCzpYAyV3044,2020-02-07,47,185393,0.653,0.0515,0.623,0.0,0.0869,0.48,-5.989,0.0938,175.884,9,4,Happy
44,2 Hearts (feat. Gia Koka),2 Hearts (feat. Gia Koka),Sam Feldt,0EdgK7ASb4kfRkW8pVMN02,2020-01-10,73,186750,0.503,0.264,0.754,5.85e-05,0.297,0.597,-3.634,0.0424,116.524,7,4,Happy
45,Weekend Vibe,Weekend Vibe,Jubël,5c0lWlmIyCq7hzBhpZasYL,2021-01-15,71,166909,0.688,0.00912,0.742,1.37e-06,0.186,0.74,-6.363,0.0496,110.026,5,4,Happy
46,One Too Many,One Too Many,Keith Urban,5NUXE8W12lWcUXgJRCjeEw,2020-09-16,78,203893,0.697,0.247,0.535,0.0,0.569,0.594,-6.504,0.068,82.959,4,4,Happy
48,Glorious,Glorious,Ella Henderson,7xPIlYAQvOubFllPkn8XSL,2019-09-13,0,184800,0.756,0.155,0.54,0.0,0.0551,0.642,-5.456,0.125,108.274,6,4,Happy
49,On Me (feat. Ava Max),SCOOB! The Album,Various Artists,7k6tAZp4m93oswrPqSfBbc,2020-05-15,75,164683,0.548,0.0119,0.721,0.0,0.216,0.594,-4.466,0.0472,177.918,8,4,Happy
50,Kings & Queens,Kings & Queens,Ava Max,76nqCfJOcFFWBJN32PAksn,2020-03-12,33,162398,0.638,0.00775,0.688,0.0,0.126,0.434,-4.056,0.0407,129.856,1,4,Happy
51,Be Okay (with HRVY),Be Okay (with HRVY),R3HAB,4ztw0mBC6VBiLV79yRHDQW,2020-05-22,68,141600,0.73,0.0179,0.558,0.0,0.128,0.618,-6.535,0.0786,100.066,8,4,Happy
52,Freedom,Freedom,Kygo,5Gj1wG8b12VQdEd3hUuSwo,2020-04-17,77,198635,0.715,0.127,0.635,0.0,0.0862,0.39,-6.591,0.0791,112.887,7,4,Happy
53,Sixteen,Sixteen,Ellie Goulding,4PkIDTPGedm0enzdvilLNd,2019-04-12,73,201072,0.669,0.268,0.801,0.0,0.0594,0.541,-5.445,0.136,109.919,8,4,Happy
54,YES,YES,BEN & TAN,1nAvS4GbkxR7iISU5ZfLPf,2020-03-08,62,180489,0.563,0.00658,0.583,0.0,0.102,0.525,-7.302,0.031,91.899,7,4,Happy
55,Body Back (feat. Maia Wright),Body Back (feat. Maia Wright),Gryffin,1z1XegUChLLQfcbtIK8ABn,2019-10-18,71,214634,0.686,0.0948,0.83,1.33e-06,0.182,0.486,-4.437,0.0369,123.032,8,4,Happy
56,Who's Laughing Now,Who's Laughing Now,Ava Max,73h4oe03sZy8bXfQLfnqMv,2020-07-30,21,180348,0.648,0.00565,0.641,3.63e-06,0.109,0.505,-5.521,0.0389,184.021,7,4,Happy
57,Fingertips,Fingertips,Tom Gregory,0jh5NRR4gX9tsFMLFDhEmX,2020-01-10,68,165430,0.718,0.07,0.693,0.0,0.132,0.691,-5.375,0.0252,88.026,1,4,Happy
58,I'll Wait,I'll Wait,Kygo,6Q3K9gVUZRMZqZKrXovbM2,2020-04-03,75,215360,0.611,0.148,0.651,1.84e-05,0.105,0.357,-6.973,0.0587,122.983,1,4,Happy
59,Never Felt A Love Like This (with Hook N Sling) [feat. Dotan],Church,Galantis,1mMvahhW2Oz9waG8UTQnI4,2020-02-07,67,215388,0.58,0.0304,0.804,0.00359,0.105,0.137,-4.618,0.0279,126.005,9,4,Happy
60,Perfect (feat. Haris),Perfect (feat. Haris),Lucas & Steve,30cW9fD87IgbYFl8o0lUze,2019-10-11,70,176517,0.751,0.0955,0.657,0.0,0.0945,0.532,-4.642,0.0989,118.029,6,4,Happy
61,Sweet & Sour (feat. Lauv & Tyga),Sweet & Sour (feat. Lauv & Tyga),Jawsh 685,3ZWhRS2EJVL5B0IEzkcvZa,2020-09-04,72,163228,0.827,0.092,0.73,1.35e-05,0.258,0.679,-5.324,0.0934,95.003,1,4,Happy
62,Put Your Records On,Put Your Records On,Ritt Momney,1fah1uAs7HeTYDlNftKr3K,2020-04-24,17,210463,0.399,0.058,0.492,0.00101,0.11,0.159,-10.777,0.0538,91.066,6,4,Happy
63,Year of the Young,Year of the Young,Smith & Thell,6J7U49QGecWb3WqIqfSYc0,2020-08-14,63,164200,0.611,0.000817,0.88,1.01e-05,0.0598,0.771,-6.571,0.0378,144.996,7,4,Happy
64,Be Kind,Be Kind,Zak Abel,5pE4OLVJh5rjaLERbUgBB2,2021-02-25,69,181516,0.929,0.068,0.67,0.0,0.318,0.938,-3.977,0.0488,120.935,8,4,Happy
65,Hold On Tight,Hold On Tight,Aloe Blacc,2xytFpmHqcz6UHp1sh0SoR,2020-09-04,51,228120,0.722,0.0264,0.59,0.0,0.0793,0.368,-7.512,0.0435,104.931,2,4,Happy
66,Love Not War (The Tampa Beat),Love Not War (The Tampa Beat),Jason Derulo,4Lt6GXGzYsa1tgkv3nGSTm,2020-11-20,87,192921,0.738,0.105,0.85,0.0,0.23,0.865,-3.049,0.0642,98.013,8,4,Happy
67,Never Really Over,Never Really Over,Katy Perry,5PYQUBXc7NYeI1obMKSJK0,2019-05-31,78,223523,0.77,0.194,0.882,0.0,0.316,0.385,-4.792,0.0602,99.991,8,4,Happy
68,Higher Love,Higher Love,Kygo,6oJ6le65B3SEqPwMRNXWjY,2019-06-28,82,228267,0.693,0.0154,0.678,6.05e-06,0.101,0.404,-7.159,0.0324,103.952,8,4,Happy
69,Keep You Mine,Keep You Mine,NOTD,0OJN2A3Qyvd7pwSF0AIteC,2019-08-02,70,174760,0.81,0.267,0.788,0.000172,0.196,0.845,-3.663,0.0447,135.991,10,4,Happy
70,Goliath,Goliath,Smith & Thell,0z4kyKuFGmUV7WQ7gB1sAp,2020-02-07,60,204758,0.528,0.000414,0.833,1.23e-06,0.068,0.46,-6.19,0.0514,127.998,9,4,Happy
71,My Way (Steve Aoki & Aloe Blacc),My Way (Steve Aoki & Aloe Blacc),Steve Aoki,0FJw1Pg9xXCxbcyQMI6GAe,2020-12-23,67,197647,0.585,0.11,0.82,0.0,0.134,0.396,-4.428,0.0774,169.895,10,4,Happy
72,Faith (with Dolly Parton) [feat. Mr. Probz],Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,35MKhw2YBKApmD7fAnPERC,2019-10-25,69,186804,0.547,0.145,0.795,0.0,0.11,0.723,-3.721,0.0489,118.118,8,4,Happy
73,Fake A Smile,Fake A Smile,Alan Walker,6rAGFY9D3ah6Lb7fUgbNNH,2021-02-19,81,168118,0.447,0.212,0.553,0.0,0.165,0.252,-4.817,0.0322,149.877,0,4,Happy
74,Let Me Move You - From the Netflix film Work It,Let Me Move You (From the Netflix film Work It),Sabrina Carpenter,0roOLcll6SSTYZwsQFmXqP,2020-07-24,75,147070,0.624,0.0112,0.628,0.0191,0.0814,0.772,-6.582,0.0408,114.556,4,4,Happy
75,Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,5f1joOtoMeyppIcJGZQvqJ,2020-07-10,83,191406,0.727,0.0469,0.626,2.58e-05,0.126,0.322,-8.415,0.0726,86.97,7,4,Happy
76,Don't Start Now,Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,2019-10-31,86,183290,0.794,0.0125,0.793,0.0,0.0952,0.677,-4.521,0.0842,123.941,11,4,Happy
77,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,6FuGJB290AQMAHTfjOYVaK,2020-11-06,83,192745,0.721,0.151,0.745,1.24e-06,0.372,0.699,-3.508,0.0366,90.988,7,4,Happy
79,Dance with Me (feat. Thomas Rhett & Young Thug),Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Diplo,6AoHQqGnuwFk9ygWhzLRws,2020-05-29,62,170157,0.73,0.0264,0.792,0.0,0.101,0.745,-5.33,0.13,99.039,6,4,Happy
80,Hold You Tonight (with Chris Lane),Hold You Tonight (with Chris Lane),Gryffin,58jecLK0epwMLr9cy5vFUy,2020-04-07,68,219353,0.467,0.102,0.795,0.0,0.264,0.472,-3.6,0.0687,163.837,11,4,Happy
81,What I Like About You (feat. Theresa Rex),What I Like About You (feat. Theresa Rex),Jonas Blue,4NSW0Km5ZG60L8FthUebPJ,2019-03-22,72,220396,0.46,0.289,0.8,6.16e-06,0.121,0.553,-3.584,0.05,102.46,1,4,Happy
82,What's Love Got to Do with It,What's Love Got to Do with It,Kygo,3Be7CLdHZpyzsVijme39cW,2020-07-17,78,208156,0.75,0.275,0.664,0.0,0.0632,0.617,-5.908,0.154,105.023,8,4,Happy
83,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,2019-05-10,83,219946,0.798,0.0912,0.675,0.0,0.0894,0.842,-5.041,0.0442,101.956,6,4,Happy
84,Rewrite The Stars (with James Arthur & Anne-Marie),The Greatest Showman: Reimagined,Various Artists,78nplE9X2ZGvQh3TKgvldE,2018-11-16,70,218293,0.67,0.237,0.743,0.0,0.465,0.571,-4.993,0.0393,125.944,10,4,Happy
86,Just Friends,Just Friends,Virginia To Vegas,02Ygu8lo3qSknRpcBnspso,2019-05-24,66,168946,0.793,0.156,0.714,0.0,0.136,0.794,-7.562,0.193,100.036,7,4,Happy
87,Learn To Fly,Learn To Fly (with Elton John),Surfaces,518miTxc3a15X7HB8FgJUW,2020-06-12,68,209832,0.569,0.554,0.536,0.0,0.0655,0.656,-6.137,0.0819,173.695,1,4,Happy
88,Catching Feelings (feat. Six60),Catching Feelings (feat. Six60),Drax Project,02VHspkXhhH1QCInRWWIfr,2019-09-04,62,218854,0.397,0.607,0.524,0.0,0.157,0.343,-5.846,0.103,175.562,3,4,Happy
89,All You Need To Know (feat. Calle Lehmann),All You Need To Know (feat. Calle Lehmann),Gryffin,4Gcv5SsxnQWpmOnUI19EJk,2019-03-27,70,238458,0.513,0.00968,0.788,0.0,0.11,0.234,-4.629,0.0364,139.987,0,4,Happy
90,My Way,My Way,Aloe Blacc,67CZNsG3SQ1S8O2BsjTo4R,2020-06-26,51,210226,0.619,0.0436,0.557,0.0,0.112,0.378,-7.461,0.0433,74.007,10,4,Happy
92,Dandelion,Dandelion,Galantis,4NexTaCZZ7Ehnf03A6SVjt,2021-01-08,79,140011,0.8,0.158,0.66,0.02,0.14,0.634,-4.903,0.158,117.923,0,4,Happy
93,DANCE,DANCE,CLMD,6TfeXwJihJRuBW3mFpib6J,2019-10-18,71,174448,0.766,0.0263,0.548,1.81e-06,0.21,0.552,-7.834,0.0373,122.012,7,4,Happy
94,Hot Stuff,Hot Stuff,Kygo,00ETaeHUQ6lops3oWU1Wrt,2020-09-18,75,199007,0.681,0.019,0.773,1.28e-06,0.11,0.429,-5.749,0.148,119.961,5,4,Happy
95,Happy Kids,Happy Kids,John De Sohn,3nVJ4tGeLFR6HUiz3e7qAe,2018-11-09,60,177209,0.603,0.0105,0.649,0.0,0.243,0.672,-5.848,0.0476,124.073,11,4,Happy
96,Ooh Girl (feat. A Boogie Wit da Hoodie),Ooh Girl (feat. A Boogie Wit da Hoodie),Kris Kross Amsterdam,1mKNyZCNDueEASgBgZuLdA,2019-08-30,65,168200,0.726,0.139,0.781,0.0,0.274,0.579,-4.276,0.0525,104.976,0,4,Happy
97,Call You Mine,World War Joy,The Chainsmokers,05CwHjIk71RXVU40boRMnR,2019-05-31,4,217653,0.591,0.225,0.702,0.0,0.414,0.501,-5.59,0.0289,104.003,7,4,Happy
98,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Spotify Singles,Benjamin Ingrosso,5LKNumPGm1bEyVroDE4rcZ,2019-03-15,0,188166,0.649,0.0106,0.718,0.000198,0.117,0.715,-7.101,0.0506,112.049,8,4,Happy
99,I Love Me,I Love Me,Demi Lovato,2IHLaN6wwYKQ3S24NsQqpA,2020-03-06,76,203672,0.664,0.00261,0.561,0.0,0.0764,0.713,-7.031,0.0495,150.093,6,4,Happy
100,Twist And Shout - Remastered,Please Please Me (Remastered),The Beatles,4Z1fbYp0HuxLBje4MOZcSD,1963-03-22,0,155226,0.482,0.641,0.849,7.74e-06,0.0414,0.937,-9.198,0.0452,124.631,2,4,Happy
101,Hooked on a Feeling,Hooked On A Feeling,Blue Swede,6Ac4NVYYl2U73QiTt11ZKd,1973,77,172866,0.547,0.261,0.82,0.0,0.3,0.933,-6.728,0.0805,118.208,8,4,Happy
102,A-Punk,Vampire Weekend,Vampire Weekend,5dKBaysNJtfpyNTRa5lqDb,2008-01-27,31,137760,0.551,0.0102,0.821,0.0438,0.153,0.842,-4.489,0.0539,174.923,2,4,Happy
104,Uptown Funk (feat. Bruno Mars),Uptown Funk (feat. Bruno Mars),Mark Ronson,4rmPQGwcLQjCoFq5NrTA0D,2014-11-24,25,270626,0.853,0.00966,0.681,5.71e-05,0.0233,0.93,-5.003,0.0888,114.989,0,4,Happy
105,Video Killed The Radio Star,I Am Happy,Various Artists,6VwkgtOIlVboseFPCFnyJ2,2010-01-01,0,251533,0.679,0.139,0.79,0.00669,0.165,0.369,-6.934,0.059,131.177,1,4,Happy
106,Watermelon Sugar,Fine Line,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,92,174000,0.548,0.122,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39,0,4,Happy
107,Hey Ya!,The Way You Move / Hey Ya!,Outkast,3AszgPDZd9q0DpDFt4HFBy,2003,66,239240,0.715,0.0644,0.97,0.000156,0.205,0.963,-2.206,0.0648,79.504,0,4,Happy
108,Come,Zanaka,Jain,1YrC8s6yZWw23QxW6rfM9f,2016-10-21,63,162266,0.818,0.232,0.783,0.00886,0.0803,0.819,-6.534,0.0444,99.992,1,4,Happy
109,Wake Me Up Before You Go-Go,80s 100 Hits,Various Artists,6ZEAXknmx2mrO3KgcDNpFI,2010-02-26,56,223066,0.586,0.144,0.651,0.0,0.489,0.901,-10.16,0.048,81.397,0,4,Happy
110,My Girl,My Girl,High Tropics,4S46FETQcxhXROubIV11M3,2021-02-05,47,165809,0.692,0.0881,0.832,0.0674,0.183,0.858,-4.414,0.0291,112.007,0,4,Happy
111,Treasure,Unorthodox Jukebox,Bruno Mars,55h7vJchibLdUkxdlX3fK7,2012-12-07,80,178560,0.874,0.0412,0.692,7.24e-05,0.324,0.937,-5.28,0.0431,116.017,5,4,Happy
112,Celebration - Single Version,Celebration / Morning Star,Kool & The Gang,6pc8xULSlsMdFB3OrqbvZ4,1980,0,215653,0.843,0.0466,0.656,0.0187,0.169,0.931,-11.184,0.0595,121.112,1,4,Happy
113,Lush Life,So Good,Zara Larsson,1rIKgCH4H52lrvDcz50hS8,2017-03-17,79,201122,0.694,0.133,0.712,0.0,0.211,0.799,-3.923,0.046,98.022,7,4,Happy
114,Mr. Brightside,Hot Fuss,The Killers,0eGsygTp906u18L0Oimnem,2004-06-15,0,222075,0.351,0.00113,0.928,0.0,0.0988,0.239,-3.71,0.0759,148.03,1,4,Happy
115,On Top Of The World,Night Visions,Imagine Dragons,213x4gsFDm04hSqIUkg88w,2012-09-04,76,192280,0.631,0.0841,0.924,3.59e-06,0.084,0.755,-5.589,0.146,100.045,0,4,Happy
117,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,1985,79,238733,0.596,0.0116,0.869,0.173,0.0678,0.944,-11.97,0.037,109.902,10,4,Happy
118,Sunday Best,Where the Light Is,Surfaces,1Cv1YLb4q0RzL6pybtaMLo,2019-01-06,84,158571,0.878,0.183,0.525,0.0,0.0714,0.694,-6.832,0.0578,112.022,5,4,Happy
119,Country House,Blur: The Best Of,Blur,4vnYwFOZCVl0bmerWyuzRw,2000-10-23,56,237733,0.341,0.147,0.894,0.0,0.0741,0.672,-6.66,0.0765,174.982,9,4,Happy
120,Posh Kid,Posh Kid,Gasch,68LD8P1989xcYJKZA3aqRV,2021-03-12,41,156000,0.806,0.414,0.467,0.00304,0.0881,0.565,-11.021,0.12,101.048,4,4,Happy
121,Don't Start Now,Future Nostalgia,Dua Lipa,3PfIrDoz19wz7qK7tYeu62,2020-03-27,86,183290,0.793,0.0123,0.793,0.0,0.0951,0.679,-4.521,0.083,123.95,11,4,Happy
123,All About That Bass,All About That Bass,Meghan Trainor,0ifSeVGUr7py5GggttDhXw,2014-06-30,64,188754,0.811,0.0476,0.879,1.91e-06,0.109,0.962,-3.724,0.0514,134.064,9,4,Happy
124,Homesick,Homesick,Arya,1hmV2cFt3tJfvOc9zwzytY,2021-03-20,43,166400,0.741,0.439,0.711,0.0,0.116,0.801,-9.359,0.126,74.989,5,4,Happy
